Country-of-Origin,prostitutionStatus,pop2020
Iceland,Limitedly legal,341.243
Armenia,Limitedly legal,2963.243
Ireland,Limitedly legal,4937.786
Norway,Limitedly legal,5421.241
Sweden,Limitedly legal,10099.265
Australia,Limitedly legal,25499.884
Malaysia,Limitedly legal,32365.999
Canada,Limitedly legal,37742.154
France,Limitedly legal,65273.511
United Kingdom,Limitedly legal,67886.011
Japan,Limitedly legal,126476.461
United States,Limitedly legal,331002.651
Belize,Legal,397.628
Malta,Legal,441.543
Luxembourg,Legal,625.978
Cyprus,Legal,1207.359
Estonia,Legal,1326.535
Latvia,Legal,1886.198
Slovenia,Legal,2078.938
Uruguay,Legal,3473.73
Panama,Legal,4314.767
New Zealand,Legal,4822.233
Costa Rica,Legal,5094.118
Slovakia,Legal,5459.642
Finland,Legal,5540.72
Denmark,Legal,5792.202
Singapore,Legal,5850.342
El Salvador,Legal,6486.205
Kyrgyzstan,Legal,6524.195
Nicaragua,Legal,6624.554
Bulgaria,Legal,6948.445
Paraguay,Legal,7132.538
Switzerland,Legal,8654.622
Israel,Legal,8655.535
Austria,Legal,9006.398
Hungary,Legal,9660.351
Honduras,Legal,9904.607
Portugal,Legal,10196.709
Greece,Legal,10423.054
Czech Republic,Legal,10708.981
Dominican Republic,Legal,10847.91
Cuba,Legal,11326.616
Belgium,Legal,11589.623
Bolivia,Legal,11673.021
Senegal,Legal,16743.927
Netherlands,Legal,17134.872
Ecuador,Legal,17643.054
Guatemala,Legal,17915.568
Chile,Legal,19116.201
Venezuela,Legal,28435.94
Peru,Legal,32971.854
Poland,Legal,37846.611
Argentina,Legal,45195.774
Spain,Legal,46754.778
Colombia,Legal,50882.891
Kenya,Legal,53771.296
Italy,Legal,60461.826
Germany,Legal,83783.942
Turkey,Legal,84339.067
Ethiopia,Legal,114963.588
Mexico,Legal,128932.753
Bangladesh,Legal,164689.383
Brazil,Legal,212559.417
Indonesia,Legal,273523.615
India,Legal,1380004.385
Saint Kitts and Nevis,Illegal,53.199
Dominica,Illegal,71.986
Antigua and Barbuda,Illegal,97.929
Saint Vincent and the Grenadines,Illegal,110.94
Grenada,Illegal,112.523
Saint Lucia,Illegal,183.627
Barbados,Illegal,287.375
Bahamas,Illegal,393.244
Suriname,Illegal,586.632
Guyana,Illegal,786.552
Trinidad and Tobago,Illegal,1399.488
Lithuania,Illegal,2722.289
Albania,Illegal,2877.797
Jamaica,Illegal,2961.167
Croatia,Illegal,4105.267
Liberia,Illegal,5057.681
United Arab Emirates,Illegal,9890.402
Jordan,Illegal,10203.134
Haiti,Illegal,11402.528
Rwanda,Illegal,12952.218
Cambodia,Illegal,16718.965
Romania,Illegal,19237.691
North Korea,Illegal,25778.816
Angola,Illegal,32866.272
Saudi Arabia,Illegal,34813.871
Afghanistan,Illegal,38928.346
Iraq,Illegal,40222.493
Uganda,Illegal,45741.007
South Korea,Illegal,51269.185
South Africa,Illegal,59308.69
Thailand,Illegal,69799.978
Iran,Illegal,83992.949
Egypt,Illegal,102334.404
Philippines,Illegal,109581.078
China,Illegal,1439323.776
